,index,dataset,time_predicted_mean
98,davies_bouldin,HappinessRank_2015,64.17456250720554
99,davies_bouldin,ICU,107.72853989071317
100,davies_bouldin,ParkinsonSpeechDataset,420.9552530977461
101,davies_bouldin,analcatdata_lawsuit,140.69466643863254
102,davies_bouldin,analcatdata_vineyard,89.12568272484674
103,davies_bouldin,analcatdata_wildcat,44.74884496794807
104,davies_bouldin,arsenic_female_bladder,133.8791086408827
105,davies_bouldin,arsenic_male_bladder,86.59014866087172
106,davies_bouldin,arsenic_male_lung,93.8703543080224
107,davies_bouldin,autoUniv_au7_1100,306.0315543810527
108,davies_bouldin,autoUniv_au7_500,375.3028687371148
109,davies_bouldin,autoUniv_au7_700,315.4015232986874
110,davies_bouldin,badges2,39.37879080242581
111,davies_bouldin,banknote_authentication,257.80379679467944
112,davies_bouldin,boston_corrected,466.9101913505131
113,davies_bouldin,breast_tissue,7.8873920705583345
114,davies_bouldin,chscase_census2,136.67387930552164
115,davies_bouldin,chscase_census6,96.07780159844293
116,davies_bouldin,collins,115.57923952738444
117,davies_bouldin,dataset_185_yeast,468.09791326522827
118,davies_bouldin,dataset_187_abalone,588.224203824997
119,davies_bouldin,dataset_18_mfeat_morphological,911.4268488354153
120,davies_bouldin,dataset_2181_auto_price,48.712360567516754
121,davies_bouldin,dataset_36_segment,412.26144835684033
122,davies_bouldin,dataset_39_ecoli,108.75152375962999
123,davies_bouldin,dataset_41_glass,41.65755459997389
124,davies_bouldin,dataset_43_haberman,51.4421435991923
125,davies_bouldin,dataset_53_heart_statlog,52.96482261021932
126,davies_bouldin,dataset_54_vehicle,95.54155037138197
127,davies_bouldin,dataset_8_liver_disorders,108.30041790008545
128,davies_bouldin,debutanizer,482.3196941481696
129,davies_bouldin,disclosure_x_bias,76.74060198995802
130,davies_bouldin,fri_c0_1000_25,77.91588105095758
131,davies_bouldin,fri_c0_100_25,0.6657515896691216
132,davies_bouldin,fri_c0_250_10,35.95107677247788
133,davies_bouldin,fri_c1_1000_5,113.99017802874248
134,davies_bouldin,fri_c1_100_10,12.18648009830051
135,davies_bouldin,fri_c1_100_5,8.513164281845093
136,davies_bouldin,fri_c1_250_10,28.428168694178265
137,davies_bouldin,fri_c1_250_5,20.0729361904992
138,davies_bouldin,fri_c1_500_25,84.45019435882568
139,davies_bouldin,fri_c2_1000_10,345.0014050536686
140,davies_bouldin,fri_c2_250_10,25.60822794172499
141,davies_bouldin,fri_c2_500_5,40.64692476060655
142,davies_bouldin,fri_c3_1000_10,258.03370152579413
143,davies_bouldin,fri_c3_1000_5,244.47939128345914
144,davies_bouldin,fri_c3_250_25,33.66869521141052
145,davies_bouldin,fri_c3_250_5,42.74433048566183
146,davies_bouldin,fri_c3_500_10,127.77448442247179
147,davies_bouldin,fri_c3_500_5,96.50917977756924
148,davies_bouldin,fri_c4_1000_100,278.7718145582411
149,davies_bouldin,fri_c4_1000_25,258.83116449250116
150,davies_bouldin,fri_c4_250_10,25.40063452720642
151,davies_bouldin,fri_c4_250_25,28.060162597232395
152,davies_bouldin,fri_c4_500_25,96.77938546074762
153,davies_bouldin,generated_10dim_10cl,106.16975389586554
154,davies_bouldin,generated_10dim_30cl,274.4569033516778
155,davies_bouldin,generated_2dim_10cl,161.38410011927286
156,davies_bouldin,generated_2dim_30cl,313.69531003634137
157,davies_bouldin,heart_h,92.14569754070706
158,davies_bouldin,heart_long_beach,36.95693299505446
159,davies_bouldin,heart_switzerland,9.273261149724325
160,davies_bouldin,immunotherapy,38.13504174020555
161,davies_bouldin,iris,17.806317779752945
162,davies_bouldin,leaf,74.16921022203233
163,davies_bouldin,mu284,14.054591920640734
164,davies_bouldin,oil_spill,88.5427201324039
165,davies_bouldin,parkinsons,0.0
166,davies_bouldin,pathogen_survey_dataset,186.279375606113
167,davies_bouldin,planning_relax,17.726437277264065
168,davies_bouldin,pm10,67.08013150427077
169,davies_bouldin,pollen,655.3770665327708
170,davies_bouldin,prnn_crabs,8.314228799608019
171,davies_bouldin,prnn_fglass,16.49588343832228
172,davies_bouldin,quake,579.7262121571434
173,davies_bouldin,rmftsa_ctoarrivals,25.105262756347656
174,davies_bouldin,rmftsa_sleepdata,59.86944897969564
175,davies_bouldin,sales_transactions,215.9173799885644
176,davies_bouldin,seeds,16.013352473576862
177,davies_bouldin,seismic_bumps,13.627572351031834
178,davies_bouldin,steel_plates_fault,641.6673062907325
179,davies_bouldin,transplant,11.01973138915168
180,davies_bouldin,user_knowledge,11.38804833094279
181,davies_bouldin,vertebra_column,57.93561307589213
182,davies_bouldin,volcanoes_a2,429.0825346310933
183,davies_bouldin,volcanoes_a3,358.1321302519904
184,davies_bouldin,volcanoes_a4,315.7951904137929
185,davies_bouldin,volcanoes_e1,428.07203544510736
186,davies_bouldin,volcanoes_e2,360.43310432963904
187,davies_bouldin,volcanoes_e3,477.19466190867956
188,davies_bouldin,volcanoes_e4,455.1912320190006
189,davies_bouldin,volcanoes_e5,264.12770075268213
190,davies_bouldin,vowel,261.15125756793555
191,davies_bouldin,wholesale_customers,116.7779786321852
192,davies_bouldin,wine_quality_red,237.30981442663403
193,davies_bouldin,yagoSchema_ttl,16.46607740720113
194,dunn,Concrete_Data,93.50337195396423
195,dunn,HappinessRank_2015,4.850983460744222
196,dunn,ICU,4.841584867901272
197,dunn,ParkinsonSpeechDataset,106.89870897928874
198,dunn,analcatdata_lawsuit,0.07697420650058323
199,dunn,analcatdata_vineyard,23.157090796364677
200,dunn,analcatdata_wildcat,0.0
201,dunn,arsenic_female_bladder,2.4827076064215765
202,dunn,arsenic_male_bladder,46.82836389541626
203,dunn,arsenic_male_lung,17.52477020687527
204,dunn,autoUniv_au7_1100,38.92707716094123
205,dunn,autoUniv_au7_500,3.5731777350107827
206,dunn,autoUniv_au7_700,111.85705629984538
207,dunn,badges2,0.0
208,dunn,banknote_authentication,124.20705326398213
209,dunn,boston_corrected,38.65230517917209
210,dunn,breast_tissue,0.045796208911471896
211,dunn,chscase_census2,1.3130035665300157
212,dunn,chscase_census6,18.553020344840156
213,dunn,collins,129.11523355378046
214,dunn,dataset_185_yeast,321.1811393896739
215,dunn,dataset_187_abalone,2927.172291384803
216,dunn,dataset_18_mfeat_morphological,204.49428023232355
217,dunn,dataset_2181_auto_price,0.0
218,dunn,dataset_36_segment,406.40814177195233
219,dunn,dataset_39_ecoli,0.0
220,dunn,dataset_41_glass,0.6617374155256484
221,dunn,dataset_43_haberman,0.0
222,dunn,dataset_53_heart_statlog,1.420419242646959
223,dunn,dataset_54_vehicle,11.206111033757528
224,dunn,dataset_8_liver_disorders,1.1042012903425429
225,dunn,debutanizer,1180.598593711853
226,dunn,disclosure_x_bias,29.112706661224365
227,dunn,fri_c0_1000_25,106.4458089934455
228,dunn,fri_c0_100_25,0.0
229,dunn,fri_c0_250_10,8.188701709111532
230,dunn,fri_c1_1000_5,102.65494487020705
231,dunn,fri_c1_100_10,0.14277137650383842
232,dunn,fri_c1_100_5,0.2578303813934326
233,dunn,fri_c1_250_10,1.793950875600179
234,dunn,fri_c1_250_5,6.021268897586399
235,dunn,fri_c1_500_25,3.0812725755903454
236,dunn,fri_c2_1000_10,106.02315603362189
237,dunn,fri_c2_250_10,7.865438116921319
238,dunn,fri_c2_500_5,74.76746447881062
239,dunn,fri_c3_1000_10,120.20682252777948
240,dunn,fri_c3_1000_5,190.6889956527286
241,dunn,fri_c3_250_25,0.14794622527228463
242,dunn,fri_c3_250_5,5.119004964828491
243,dunn,fri_c3_500_10,27.896577543682522
244,dunn,fri_c3_500_5,45.83815473980374
245,dunn,fri_c4_1000_100,0.9445747534434
246,dunn,fri_c4_1000_25,168.9782280392117
247,dunn,fri_c4_250_10,0.24805630577935112
248,dunn,fri_c4_250_25,5.818200243843926
249,dunn,fri_c4_500_25,7.381318277782864
250,dunn,generated_10dim_10cl,4.609495984183417
251,dunn,generated_10dim_30cl,84.93612247043185
252,dunn,generated_2dim_10cl,0.0
253,dunn,generated_2dim_30cl,3.526919311947293
254,dunn,heart_h,0.0
255,dunn,heart_long_beach,0.10421893331739637
256,dunn,heart_switzerland,2.3106664286719427
257,dunn,immunotherapy,0.0
258,dunn,iris,3.0994607872433133
259,dunn,leaf,0.0
260,dunn,mu284,0.0
261,dunn,oil_spill,83.3455416361491
262,dunn,parkinsons,0.0
263,dunn,pathogen_survey_dataset,35.10907416873508
264,dunn,planning_relax,4.7295998732248945
